CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;NU_ANO;TX_ENUNCIADO
120;CN;141642;B;6;0;;6.00319;2.4444;0.28583;AZUL;1483;;0;2024;"120 litros por
simultânea às discussões neomalthusianas sobre a crise
dia, uma única árvore pode ser capaz de produzir água
demográfica, à aceleração dos processos de modernização
para até oito pessoas.
e ao boom da indústria farmacêutica multinacional.
DIAS, T. M. et al. A pílula da oportunidade: discursos sobre as pílulas MAGNO, C. Estudiosos explicam o motivo de chover tanto
anticoncepcionais em A Gazeta da Farmácia, 1960-1981. História, em Belém. Disponível em: www.diarioonline.com.br.
Ciências, Saúde — Manguinhos, n. 3, jul.-set. 2018 (adaptado). Acesso em: 6 nov. 2021.
Qual foi o efeito social resultante do avanço tecnológico TEXTO II
mencionado no texto? A Amazônia perdeu diariamente uma área de floresta
A O afastamento da autoridade médica na regulação da maior do que 4 mil campos de futebol apenas em setembro
fecundidade. de 2021. Em todo o mês, foram devastados 1 224 km²,
B A superação do discurso da moralidade pela ação da o que corresponde ao tamanho da cidade do Rio de Janeiro
e é a pior marca para setembro em 10 anos. Os dados
mídia estatal.
são do Sistema de Alerta de Desmatamento (SAD) do
C A ampliação do debate público sobre o planejamento
Instituto do Homem e Meio Ambiente da Amazônia (Imazon),
familiar.
que monitora a floresta por meio de imagens de satélites.
D A centralização da pesquisa científica pelo sistema
privado de saúde. FREITAS, A. Desmatamento na Amazônia em setembro foi o maior
para o período em 10 anos. Disponível em: www.cnnbrasil.com.br.
E O"
120;CN;141642;B;6;0;;6.00319;2.4444;0.28583;AZUL;1483;;0;2024;"120 litros por
simultânea às discussões neomalthusianas sobre a crise
dia, uma única árvore pode ser capaz de produzir água
demográfica, à aceleração dos processos de modernização
para até oito pessoas.
e ao boom da indústria farmacêutica multinacional.
DIAS, T. M. et al. A pílula da oportunidade: discursos sobre as pílulas MAGNO, C. Estudiosos explicam o motivo de chover tanto
anticoncepcionais em A Gazeta da Farmácia, 1960-1981. História, em Belém. Disponível em: www.diarioonline.com.br.
Ciências, Saúde — Manguinhos, n. 3, jul.-set. 2018 (adaptado). Acesso em: 6 nov. 2021.
Qual foi o efeito social resultante do avanço tecnológico TEXTO II
mencionado no texto? A Amazônia perdeu diariamente uma área de floresta
A O afastamento da autoridade médica na regulação da maior do que 4 mil campos de futebol apenas em setembro
fecundidade. de 2021. Em todo o mês, foram devastados 1 224 km²,
B A superação do discurso da moralidade pela ação da o que corresponde ao tamanho da cidade do Rio de Janeiro
e é a pior marca para setembro em 10 anos. Os dados
mídia estatal.
são do Sistema de Alerta de Desmatamento (SAD) do
C A ampliação do debate público sobre o planejamento
Instituto do Homem e Meio Ambiente da Amazônia (Imazon),
familiar.
que monitora a floresta por meio de imagens de satélites.
D A centralização da pesquisa científica pelo sistema
privado de saúde. FREITAS, A. Desmatamento na Amazônia em setembro foi o maior
para o período em 10 anos. Disponível em: www.cnnbrasil.com.br.
E O"
120;CN;141642;B;6;0;;6.00319;2.4444;0.28583;AZUL;1483;;0;2024;"120 litros por
simultânea às discussões neomalthusianas sobre a crise
dia, uma única árvore pode ser capaz de produzir água
demográfica, à aceleração dos processos de modernização
para até oito pessoas.
e ao boom da indústria farmacêutica multinacional.
DIAS, T. M. et al. A pílula da oportunidade: discursos sobre as pílulas MAGNO, C. Estudiosos explicam o motivo de chover tanto
anticoncepcionais em A Gazeta da Farmácia, 1960-1981. História, em Belém. Disponível em: www.diarioonline.com.br.
Ciências, Saúde — Manguinhos, n. 3, jul.-set. 2018 (adaptado). Acesso em: 6 nov. 2021.
Qual foi o efeito social resultante do avanço tecnológico TEXTO II
mencionado no texto? A Amazônia perdeu diariamente uma área de floresta
A O afastamento da autoridade médica na regulação da maior do que 4 mil campos de futebol apenas em setembro
fecundidade. de 2021. Em todo o mês, foram devastados 1 224 km²,
B A superação do discurso da moralidade pela ação da o que corresponde ao tamanho da cidade do Rio de Janeiro
e é a pior marca para setembro em 10 anos. Os dados
mídia estatal.
são do Sistema de Alerta de Desmatamento (SAD) do
C A ampliação do debate público sobre o planejamento
Instituto do Homem e Meio Ambiente da Amazônia (Imazon),
familiar.
que monitora a floresta por meio de imagens de satélites.
D A centralização da pesquisa científica pelo sistema
privado de saúde. FREITAS, A. Desmatamento na Amazônia em setembro foi o maior
para o período em 10 anos. Disponível em: www.cnnbrasil.com.br.
E O"
171;MT;95687;A;22;0;;5.44912;2.872;0.15431;AZUL;1407;;0;2024;Enunciado da Questão 171 (Consulte o Caderno Azul Oficial)
171;MT;95687;A;22;0;;5.44912;2.872;0.15431;AZUL;1407;;0;2024;Enunciado da Questão 171 (Consulte o Caderno Azul Oficial)
171;MT;95687;A;22;0;;5.44912;2.872;0.15431;AZUL;1407;;0;2024;Enunciado da Questão 171 (Consulte o Caderno Azul Oficial)
12;LC;150766;D;20;0;;5.24443;0.2992;0.19478;AZUL;1395;;0;2024;"12 7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 12 Libras
Ledor 11 11 Ledor
8. Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO.
Rosa 8 8 Rosa
9. Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e
Azul 7 poderá levar seu CADERNO DE QUESTÕES ao deixar em defi nitivo a sala de prova nos 30 minutos 7 Azul
Cinza 6 que antecedem o término das provas. 6 Cinza
Amarelo 5 5 Amarelo
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM
*010175AZ1*
BBB0011iiiggg00uuu11rrr77rrr55iiilllAAhhhZZooosss..ii...nniiinnndddddbbddd 11 111 11224433////00006688////2222000022222244 11117766::::11442266::::00446600"
12;LC;150766;D;20;0;;5.24443;0.2992;0.19478;AZUL;1395;;0;2024;"12 7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 12 Libras
Ledor 11 11 Ledor
8. Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO.
Rosa 8 8 Rosa
9. Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e
Azul 7 poderá levar seu CADERNO DE QUESTÕES ao deixar em defi nitivo a sala de prova nos 30 minutos 7 Azul
Cinza 6 que antecedem o término das provas. 6 Cinza
Amarelo 5 5 Amarelo
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM
*010175AZ1*
BBB0011iiiggg00uuu11rrr77rrr55iiilllAAhhhZZooosss..ii...nniiinnndddddbbddd 11 111 11224433////00006688////2222000022222244 11117766::::11442266::::00446600"
12;LC;150766;D;20;0;;5.24443;0.2992;0.19478;AZUL;1395;;0;2024;"12 7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 12 Libras
Ledor 11 11 Ledor
8. Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO.
Rosa 8 8 Rosa
9. Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e
Azul 7 poderá levar seu CADERNO DE QUESTÕES ao deixar em defi nitivo a sala de prova nos 30 minutos 7 Azul
Cinza 6 que antecedem o término das provas. 6 Cinza
Amarelo 5 5 Amarelo
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM
*010175AZ1*
BBB0011iiiggg00uuu11rrr77rrr55iiilllAAhhhZZooosss..ii...nniiinnndddddbbddd 11 111 11224433////00006688////2222000022222244 11117766::::11442266::::00446600"
30;LC;150640;D;22;0;;5.12643;0.99473;0.15516;AZUL;1395;;0;2024;"30 minutos 7 Azul
Cinza 6 que antecedem o término das provas. 6 Cinza
Amarelo 5 5 Amarelo
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM
*010175AZ1*
BBB0011iiiggg00uuu11rrr77rrr55iiilllAAhhhZZooosss..ii...nniiinnndddddbbddd 11 111 11224433////00006688////2222000022222244 11117766::::11442266::::00446600"
