CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;NU_ANO;SCORE_ESCUDO;TX_ENUNCIADO
110;CN;86674;C;7;0;;7.35128;1.31937;0.12629;AZUL;1569;;0;2025;10.113;Enunciado da Questão 110 (Consulte o Caderno Azul Oficial)
123;CN;95477;E;21;0;;6.51954;1.22565;0.22084;AZUL;1569;;0;2025;8.25793;Enunciado da Questão 123 (Consulte o Caderno Azul Oficial)
26;LC;44047;B;26;0;;2.89699;-0.59642;0.02425;AZUL;1459;;0;2025;7.46199;"26 QUESTãO 28
Pequenino morto
Tange o sino, tange, numa voz de choro,
Numa voz de choro... tão desconsolado...
No caixão dourado, como em berço de ouro,
Pequenino, levam-te dormindo... Acorda!
Olha que te levam para o mesmo lado
De onde o sino tange numa voz de choro...
Pequenino, acorda!
Que caminho triste, e que viagem! Alas
De ciprestes negros a gemer no vento;
Tanta boca aberta de famintas valas
A pedir que as fartem, a esperar que as encham...
Pequenino, acorda! Recupera o alento,
Foge da cobiça dessas fundas valas
A pedir que as encham.
CARVALHO, V. Poemas e canções. Rio de Janeiro:
Saraiva, 1962 (fragmento).
Nesse fragmento do poema, o sentimento de luto adquire
contornos expressivos e é intensificado pela
A descrição da paisagem de um cemitério.
B recusa do eu lírico à irreversibilidade da morte.
C sonoridade dos versos produzida pela pontuação.
Revista Língua Portuguesa, n. 31, maio 2008 (adaptado). D religiosidade evocada como forma de fortalecimento.
Esse texto, que apresenta um prato da culinária brasileira, E impressão de sonho na construção da estrutura poética.
evidencia
QUESTãO 29
A valor afetivo nas nomenclaturas.
Só entende os corações desse lugar quem mergulha nesse
B variedade linguística entre regiões.
mar a perder de vista e recoberto de cana caiana, cana fita, cana
C disputa regional pelo melhor prato.
roxa, cana-de-macaco, açúcar, melado, rapadura, aguardente,
D modos de preparo de um mesmo alimento.
fumo, mandioca, quiabos, pimentas, moendas, frutas, "
132;CN;89102;B;3;0;;3.08165;-0.52331;0.20046;AZUL;1511;;0;2025;6.73093;Enunciado da Questão 132 (Consulte o Caderno Azul Oficial)
13;LC;153400;E;27;0;;4.6087;0.80546;0.10579;AZUL;1459;;0;2025;6.272069999999999;"13 maio 2024.
Ao abordar a trajetória da palavra “guagua”, o texto destaca a
A presença de empréstimo linguístico no espanhol.
B validação de um vocábulo por uma instituição renomada.
C concorrência entre línguas indígenas e a língua espanhola.
D valorização da língua de um país em detrimento da de outro.
E disputa entre hispano-americanos e espanhóis por sua origem.
ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEN2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025
4 LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO | 1º DIA | CADERNO 1 | AZUL
001100117755AAZZ..iinnddbb 44 2233//0077//22002255 1122::3322::0055"
57;CH;125802;D;2;0;;3.84407;0.17934;0.18899;AZUL;1520;;0;2025;6.205169999999999;"57 QUESTãO 59
Dos 10 aos 15 anos de idade, Virgínia adorava acompanhar Pela falta de chuvas, a geração de energia eólica, solar e
seu pai, aos domingos, naquela sinestésica Feira de São Cristóvão térmica atingiu níveis recordes em agosto de 2021, quando
(RJ), talvez por ser o maior elo que ela experimentava com o as hidrelétricas ficaram com cerca de 50% do total. Para um
mundo exterior à sua casa e, visto assim e agora, tão íntimo professor da Universidade Federal da Bahia, essa queda não
e próximo de algo que ela ainda não sabia, mas que seria, no é uma surpresa. “Não aconteceu de uma hora para outra.
futuro, a sua própria casa: a Paraíba. Dona Didi costurava, sob Se olharmos o mapa do Brasil, um dos grandes provedores de
medida, camisas sociais, bermudas, shorts, vestidos, saias, água é a Floresta Amazônica. Se você diminui a floresta, diminui
sempre em casa e rodeada pelos quatro filhos pequenos do a quantidade de água que vai para a atmosfera”, explica.
casal, desdobrando-se para dar conta de toda a responsabilidade
BORGES, T. O fantasma do apagão. Disponível em:
sem trégua que isso demandava. www.correio24horas.com.br. Acesso em:
PASSOS, M. C. P. et al. apud SCARELI, G. A máquina de costura e os fios 9 out. 2021 (adaptado).
da memória. Revista Brasileira de Pesquisa (Auto) Biográfica, n. 18,
De acordo com o texto, a dificuldade na produção de energia
maio-ago. 2021 (adaptado).
é causada pela alteração da(s)
Os itinerários afetivos e socioespaciais mencionados no texto
A"
31;LC;150463;E;28;0;;3.21925;-0.07485;0.18798;AZUL;1549;;0;2025;5.72315;Enunciado da Questão 31 (Consulte o Caderno Azul Oficial)
38;LC;43532;B;18;0;;4.75417;0.97598;0.1838;AZUL;1459;;0;2025;5.661400000000001;Enunciado da Questão 38 (Consulte o Caderno Azul Oficial)
10;LC;150669;D;23;0;;3.30481;0.06964;0.18337;AZUL;1549;;0;2025;5.48385;"10 Libras 10 10 Libras 10
2º Dia 2º Dia
1º Capa 4º Capa
12 Libras 12 12 Libras 12
11 Ledor 11 11 Ledor 11
11 Atendimento Especializado 11 11 Atendimento Especializado 11
8 Verde 8 8 Verde 8
7 Azul 7 7 Azul 7
6 Cinza 6 6 Cinza 6
5 Amarelo 5 5 Amarelo 5
*010175AZ1*
0 1
CADERNO 1 | AZUL 1º DIA
����� �������� �� ������ �����
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇãO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
CADERNO
1
AZUL
ATENÇãO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
Nada na vida deve ser temido, somente compreendido
ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEN2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025ENEM2025
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1. Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação,
dispostas da seguinte maneira:
a)questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b)Proposta de Redação;
c)questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias.
ATENÇãO: as questões"
127;CN;95445;C;8;0;;4.85792;1.12172;0.19432;AZUL;1483;;0;2025;5.37908;Enunciado da Questão 127 (Consulte o Caderno Azul Oficial)
125;CN;84790;C;13;0;;5.335;1.44617;0.19475;AZUL;1569;;0;2025;5.357740000000001;Enunciado da Questão 125 (Consulte o Caderno Azul Oficial)
32;LC;157592;C;2;0;;2.66969;-0.32364;0.20056;AZUL;1549;;0;2025;5.3075;Enunciado da Questão 32 (Consulte o Caderno Azul Oficial)
41;LC;140956;A;18;0;;3.29782;0.10946;0.195;AZUL;1529;;0;2025;5.292260000000001;"41 cm.
Ashmolean Museum, Oxford, 1729. Pois é, quanto tempo...
Disponível em: www.meinsterart.de. Acesso em: 13 dez. 2017. Tanta coisa que eu tinha a dizer
TEXTO II Mas eu sumi na poeira das ruas
Eu também tenho algo a dizer
Antigo centro da economia mundo-europeia do século XV,
Mas me foge a lembrança
no final do século XVII e início do século XVIII, Veneza ainda era
uma cidade cosmopolita onde orientais podiam sentir-se em casa. Por favor, telefone, eu preciso beber
Alguma coisa rapidamente
BRAUDEL, F. O tempo do mundo. São Paulo:
Martins Fontes, 1979 (adaptado). Pra semana...
O sinal...
Qual elemento da condição cosmopolita de Veneza na Idade
Eu procuro você...
Moderna está explicitado nos textos?
Vai abrir! Vai abrir!
A Avanço do ensino laico. Prometo, não esqueço
B Conquista das terras da América. Por favor, não esqueça
C Integração do comércio mediterrâneo. Não esqueço, não esqueço
D Popularização do pensamento humanista. Adeus...
E Desenvolvimento das corporações de ofício. PAULINHO DA VIOLA. Foi um rio que passou em minha vida.
Rio de Janeiro: Odeon, 1970.
QUESTãO 50
A letra da canção apresenta a permanência de uma situação da
O direito não é a justiça. O direito é o elemento do cálculo, vida cotidiana ao destacar a
é justo que haja um direito, mas a justiça é incalculável, ela exige
A diminuição do comportamento competitivo.
que se calcule o incalculável; e as experiências aporéticas são
B importância da memória coletiva.
experiências tão improváveis quanto necessári"
98;CN;97320;D;10;0;;2.99967;-0.11059;0.20992;AZUL;1483;;0;2025;5.28151;Enunciado da Questão 98 (Consulte o Caderno Azul Oficial)
